10,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:17.226896+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/'}",140.134.24.124,"{""POST"": {}, ""GET"": {""child"": [""first""]}}",/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/
11,nlh,browser,page_close,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:18.336764+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/a9fd728478ac4ef2a3d9035ba1de10c2/1f38c16b956845b18d68d54ef2bdbe27/1?activate_block_id=block-v1%3AFCUx%2BQA%2B19004%2Btype%40vertical%2Bblock%405318d13bb9dd4c0bb719dc3a6ac61919,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,{},page_close
12,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:18.925127+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/transcript/translation/en'}",140.134.24.124,"{""POST"": {}, ""GET"": {""videoId"": [""FSPSVS7pYAI""]}}",/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/transcript/translation/en
13,nlh,browser,load_video,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:19.423339+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""duration"": 239, ""code"": ""FSPSVS7pYAI"", ""id"": ""99f17660de4e4a5d8957f42903e7f5be""}",load_video
14,nlh,browser,play_video,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:23.409105+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""duration"": 239, ""code"": ""FSPSVS7pYAI"", ""id"": ""99f17660de4e4a5d8957f42903e7f5be"", ""currentTime"": 0.020499710083007813}",play_video
15,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:32.352523+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/xmodule_handler/save_user_state'}",140.134.24.124,"{""POST"": {""speed"": [""1.25""]}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/xmodule_handler/save_user_state
16,nlh,browser,speed_change_video,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:19:32.375736+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""current_time"": 17.541999030517577, ""old_speed"": 2, ""code"": ""FSPSVS7pYAI"", ""new_speed"": ""1.25"", ""duration"": 239, ""id"": ""99f17660de4e4a5d8957f42903e7f5be""}",speed_change_video
17,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:21:33.496869+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/xmodule_handler/save_user_state'}",140.134.24.124,"{""POST"": {""speed"": [""1.75""]}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/xmodule_handler/save_user_state
18,nlh,browser,speed_change_video,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:21:33.523320+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,courses.openedu.tw,388a0c38f9f65daeadf5ed5d048ba533,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/event'}",140.134.24.124,"{""current_time"": 169.23932798807908, ""old_speed"": 1.5, ""code"": ""FSPSVS7pYAI"", ""new_speed"": ""1.75"", ""duration"": 239, ""id"": ""99f17660de4e4a5d8957f42903e7f5be""}",speed_change_video
19,nlh,server,,"zh-TW,zh;q=0.9,en-US;q=0.8,en;q=0.7,zh-CN;q=0.6",2019-09-06T01:22:05.971214+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36",,courses.openedu.tw,,https://courses.openedu.tw/courses/course-v1:FCUx+QA+19004/courseware/c23767a9478d4277a9cef9d7ff945508/8cc3afb7402345c4b28d9ac8e6155e0b/?child=first,"{'course_user_tags': {}, 'user_id': 27, 'org_id': 'FCUx', 'course_id': 'course-v1:FCUx+QA+19004', 'path': '/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/publish_completion'}",140.134.24.124,"{""POST"": {}, ""GET"": {}}",/courses/course-v1:FCUx+QA+19004/xblock/block-v1:FCUx+QA+19004+type@video+block@99f17660de4e4a5d8957f42903e7f5be/handler/publish_completion
